id,condition,score,sparse.decorated,category
cs1,plate_tec_self,0.23119777158774382,sparse,self
cs2,plate_tec_self,1.0695187165775576E-2,sparse,self
cs3,plate_tec_self,NA,sparse,self
cs4,plate_tec_self,5.5710306406685037E-3,sparse,self
cs5,plate_tec_self,4.5454545454545393E-2,sparse,self
cs6,plate_tec_self,0,sparse,self
cs7,plate_tec_self,2.7855153203342519E-3,sparse,self
cs8,plate_tec_self,2.6737967914438406E-3,sparse,self
cs9,plate_tec_self,2.2284122562674182E-2,sparse,self
cs10,plate_tec_self,1.1142061281337007E-2,sparse,self
cs11,plate_tec_self,5.5710306406685318E-2,sparse,self
cs12,plate_tec_self,4.8128342245989025E-2,sparse,self
cs13,plate_tec_self,NA,sparse,self
cs14,plate_tec_self,2.7855153203342519E-3,sparse,self
cs16,plate_tec_self,0,sparse,self
cs17,plate_tec_self,5.5710306406685037E-3,sparse,self
cs18,plate_tec_self,2.9411764705882408E-2,sparse,self
cs19,plate_tec_self,4.5454545454545393E-2,sparse,self
cs20,plate_tec_self,0.22192513368983918,sparse,self
cs21,plate_tec_self,9.3582887700534634E-2,sparse,self
cs22,plate_tec_self,2.941176470588246E-2,sparse,self
cs23,plate_tec_self,6.4171122994652816E-2,sparse,self
cs24,plate_tec_self,1.8716577540106884E-2,sparse,self
cs1,plate_tec_peer,0.13370473537604455,sparse,peer
cs2,plate_tec_peer,0.2673796791443851,sparse,peer
cs3,plate_tec_peer,NA,sparse,peer
cs4,plate_tec_peer,0.14206128133704735,sparse,peer
cs5,plate_tec_peer,0.13636363636363658,sparse,peer
cs6,plate_tec_peer,8.3565459610027565E-3,sparse,peer
cs7,plate_tec_peer,5.0139275766016532E-2,sparse,peer
cs8,plate_tec_peer,0.15508021390374319,sparse,peer
cs9,plate_tec_peer,0.15598885793871861,sparse,peer
cs10,plate_tec_peer,8.3565459610028009E-2,sparse,peer
cs11,plate_tec_peer,7.2423398328690602E-2,sparse,peer
cs12,plate_tec_peer,0.32352941176470512,sparse,peer
cs13,plate_tec_peer,NA,sparse,peer
cs14,plate_tec_peer,0.11420612813370472,sparse,peer
cs16,plate_tec_peer,0.12299465240641703,sparse,peer
cs17,plate_tec_peer,0.11699164345403885,sparse,peer
cs18,plate_tec_peer,0.12566844919786135,sparse,peer
cs19,plate_tec_peer,5.882352941176492E-2,sparse,peer
cs20,plate_tec_peer,0.42245989304812842,sparse,peer
cs21,plate_tec_peer,0.40641711229946587,sparse,peer
cs22,plate_tec_peer,0.34491978609625673,sparse,peer
cs23,plate_tec_peer,0.14705882352941166,sparse,peer
cs24,plate_tec_peer,0.21390374331550827,sparse,peer
cs1,plate_tec_environment,1.6713091922005513E-2,sparse,envr
cs2,plate_tec_environment,8.0213903743317355E-3,sparse,envr
cs3,plate_tec_environment,NA,sparse,envr
cs4,plate_tec_environment,2.7855153203342519E-3,sparse,envr
cs5,plate_tec_environment,5.3475935828876811E-3,sparse,envr
cs6,plate_tec_environment,1.3927576601671316E-2,sparse,envr
cs7,plate_tec_environment,1.392757660167126E-2,sparse,envr
cs8,plate_tec_environment,0,sparse,envr
cs9,plate_tec_environment,8.3565459610027565E-3,sparse,envr
cs10,plate_tec_environment,2.5069637883008377E-2,sparse,envr
cs11,plate_tec_environment,0,sparse,envr
cs12,plate_tec_environment,6.6844919786096441E-2,sparse,envr
cs13,plate_tec_environment,NA,sparse,envr
cs14,plate_tec_environment,2.7855153203342519E-3,sparse,envr
cs16,plate_tec_environment,1.3368983957219202E-2,sparse,envr
cs17,plate_tec_environment,1.1142061281337063E-2,sparse,envr
cs18,plate_tec_environment,5.3475935828876811E-3,sparse,envr
cs19,plate_tec_environment,3.4759358288769818E-2,sparse,envr
cs20,plate_tec_environment,2.4064171122994565E-2,sparse,envr
cs21,plate_tec_environment,1.0695187165775149E-2,sparse,envr
cs22,plate_tec_environment,1.3368983957219416E-2,sparse,envr
cs23,plate_tec_environment,0,sparse,envr
cs24,plate_tec_environment,0,sparse,envr
cs1,plate_tec_other,0,sparse,other
cs2,plate_tec_other,2.6737967914438406E-3,sparse,other
cs3,plate_tec_other,NA,sparse,other
cs4,plate_tec_other,0,sparse,other
cs5,plate_tec_other,0,sparse,other
cs6,plate_tec_other,0,sparse,other
cs7,plate_tec_other,2.7855153203342519E-3,sparse,other
cs8,plate_tec_other,0,sparse,other
